Annee,Mois,Decade,Obs_d_Def_eau_sol
1959,1,1,0.00
1959,1,2,-0.60
1959,1,3,-1.30
1959,2,4,-5.10
1959,2,5,-6.60
1959,2,6,-5.70
1959,3,7,-2.10
1959,3,8,0.00
1959,3,9,-1.00
1959,4,10,-0.50
1959,4,11,-16.90
1959,4,12,-12.90
1959,5,13,-29.10
1959,5,14,-52.10
1959,5,15,-59.60
1959,6,16,-71.90
1959,6,17,-95.40
1959,6,18,-95.80
1959,7,19,-112.40
1959,7,20,-130.20
1959,7,21,-112.50
1959,8,22,-80.30
1959,8,23,-90.80
1959,8,24,-106.00
1959,9,25,-117.10
1959,9,26,-126.50
1959,9,27,-127.30
1959,10,28,-132.50
1959,10,29,-126.10
1959,10,30,-78.90
1959,11,31,-61.40
1959,11,32,-60.70
1959,11,33,-52.70
1959,12,34,-50.70
1959,12,35,-32.00
1959,12,36,-0.50
1976,1,1,0.00
1976,1,2,0.00
1976,1,3,-2.70
1976,2,4,0.00
1976,2,5,-4.30
1976,2,6,-6.20
1976,3,7,-14.70
1976,3,8,-13.60
1976,3,9,-13.20
1976,4,10,-19.10
1976,4,11,-31.80
1976,4,12,-50.00
1976,5,13,-64.20
1976,5,14,-79.90
1976,5,15,-81.70
1976,6,16,-92.40
1976,6,17,-107.60
1976,6,18,-127.60
1976,7,19,-142.50
1976,7,20,-110.80
1976,7,21,-107.60
1976,8,22,-116.80
1976,8,23,-128.40
1976,8,24,-126.30
1976,9,25,-111.50
1976,9,26,-108.60
1976,9,27,-88.00
1976,10,28,-80.00
1976,10,29,-73.50
1976,10,30,-69.60
1976,11,31,-43.60
1976,11,32,-36.70
1976,11,33,0.00
1976,12,34,0.00
1976,12,35,0.00
1976,12,36,0.00
1996,1,1,-0.10
1996,1,2,-2.90
1996,1,3,-6.00
1996,2,4,-8.00
1996,2,5,0.00
1996,2,6,0.00
1996,3,7,-4.20
1996,3,8,-13.50
1996,3,9,-9.60
1996,4,10,-21.40
1996,4,11,-35.00
1996,4,12,-56.60
1996,5,13,-48.10
1996,5,14,-53.00
1996,5,15,-49.10
1996,6,16,-68.50
1996,6,17,-91.30
1996,6,18,-85.20
1996,7,19,-71.40
1996,7,20,-90.90
1996,7,21,-107.90
1996,8,22,-121.00
1996,8,23,-72.10
1996,8,24,-0.60
1996,9,25,-14.40
1996,9,26,-16.40
1996,9,27,-1.50
1996,10,28,-0.90
1996,10,29,-6.20
1996,10,30,-0.90
1996,11,31,0.00
1996,11,32,0.00
1996,11,33,0.00
1996,12,34,-0.20
1996,12,35,0.00
1996,12,36,-6.00
2011,1,1,0.00
2011,1,2,0.00
2011,1,3,-0.70
2011,2,4,0.00
2011,2,5,-0.70
2011,2,6,-0.30
2011,3,7,-5.70
2011,3,8,-4.10
2011,3,9,-9.80
2011,4,10,-17.60
2011,4,11,-37.30
2011,4,12,-53.70
2011,5,13,-75.10
2011,5,14,-90.10
2011,5,15,-98.10
2011,6,16,-98.70
2011,6,17,-85.60
2011,6,18,-57.00
2011,7,19,-77.40
2011,7,20,-66.00
2011,7,21,-55.50
2011,8,22,-49.70
2011,8,23,-34.50
2011,8,24,-7.90
2011,9,25,-3.70
2011,9,26,-7.10
2011,9,27,-19.40
2011,10,28,-1.20
2011,10,29,-2.00
2011,10,30,-4.80
2011,11,31,-3.10
2011,11,32,-4.20
2011,11,33,-4.40
2011,12,34,-0.20
2011,12,35,0.00
2011,12,36,0.00
2012,1,1,0.00
2012,1,2,0.00
2012,1,3,-0.50
2012,2,4,-1.90
2012,2,5,-0.20
2012,2,6,-1.00
2012,3,7,-0.90
2012,3,8,-8.80
2012,3,9,-22.50
2012,4,10,-12.50
2012,4,11,-14.50
2012,4,12,0.00
2012,5,13,-4.30
2012,5,14,-6.40
2012,5,15,-30.60
2012,6,16,-41.10
2012,6,17,-33.80
2012,6,18,-15.00
2012,7,19,-5.20
2012,7,20,-6.00
2012,7,21,-15.90
2012,8,22,-33.00
2012,8,23,-56.80
2012,8,24,-52.00
2012,9,25,-64.80
2012,9,26,-57.10
2012,9,27,-42.90
2012,10,28,-1.90
2012,10,29,-1.70
2012,10,30,-0.40
2012,11,31,-0.40
2012,11,32,-0.30
2012,11,33,-0.20
2012,12,34,0.00
2012,12,35,0.00
2012,12,36,0.00
2013,1,1,-0.20
2013,1,2,0.00
2013,1,3,0.00
2013,2,4,-0.50
2013,2,5,-0.60
2013,2,6,-0.70
2013,3,7,0.00
2013,3,8,0.00
2013,3,9,-5.10
2013,4,10,-6.90
2013,4,11,-12.80
2013,4,12,-26.00
2013,5,13,-18.00
2013,5,14,-9.20
2013,5,15,-2.10
2013,6,16,-31.80
2013,6,17,-34.80
2013,6,18,-12.30
2013,7,19,-33.80
2013,7,20,-60.30
2013,7,21,-27.70
2013,8,22,-43.00
2013,8,23,-51.80
2013,8,24,-55.30
2013,9,25,-49.90
2013,9,26,-25.10
2013,9,27,-33.00
2013,10,28,-24.50
2013,10,29,-15.20
2013,10,30,-0.60
2013,11,31,
2013,11,32,
2013,11,33,
2013,12,34,-0.20
2013,12,35,-0.10
2013,12,36,0.00
2014,1,1,-0.10
2014,1,2,0.00
2014,1,3,-1.30
2014,2,4,0.00
2014,2,5,0.00
2014,2,6,-0.30
2014,3,7,-4.60
2014,3,8,-12.50
2014,3,9,-14.00
2014,4,10,-21.90
2014,4,11,-37.00
2014,4,12,-28.90
2014,5,13,-10.80
2014,5,14,-3.20
2014,5,15,-21.00
2014,6,16,-12.90
2014,6,17,-36.00
2014,6,18,-26.40
2014,7,19,-0.50
2014,7,20,-16.60
2014,7,21,-8.20
2014,8,22,0.00
2014,8,23,-4.70
2014,8,24,0.00
2014,9,25,-15.20
2014,9,26,-6.60
2014,9,27,0.00
2014,10,28,-0.80
2014,10,29,-2.40
2014,10,30,-0.60
2014,11,31,-0.20
2014,11,32,-0.90
2014,11,33,0.00
2014,12,34,0.00
2014,12,35,-0.40
2014,12,36,0.00
2015,1,1,0.00
2015,1,2,-0.10
2015,1,3,0.00
2015,2,4,-0.40
2015,2,5,0.00
2015,2,6,-1.30
2015,3,7,-3.30
2015,3,8,-9.00
2015,3,9,0.00
2015,4,10,-7.20
2015,4,11,-25.70
2015,4,12,-16.40
2015,5,13,-12.90
2015,5,14,-27.50
2015,5,15,-39.20
2015,6,16,-56.60
2015,6,17,-66.00
2015,6,18,-58.80
2015,7,19,-81.10
2015,7,20,-72.00
2015,7,21,-70.10
2015,8,22,-84.50
2015,8,23,-65.90
2015,8,24,-46.50
2015,9,25,-48.10
2015,9,26,-11.10
2015,9,27,-8.00
2015,10,28,-1.10
2015,10,29,-0.60
2015,10,30,-1.60
2015,11,31,-1.70
2015,11,32,0.00
2015,11,33,0.00
2015,12,34,-0.20
2015,12,35,-0.50
2015,12,36,0.00
2016,1,1,0.00
2016,1,2,-0.30
2016,1,3,0.00
2016,2,4,0.00
2016,2,5,0.00
2016,2,6,-2.60
2016,3,7,-2.00
2016,3,8,-9.00
2016,3,9,0.00
2016,4,10,-3.60
2016,4,11,-7.30
2016,4,12,0.00
2016,5,13,-21.00
2016,5,14,-38.10
2016,5,15,-0.80
2016,6,16,-13.50
2016,6,17,0.00
2016,6,18,-3.30
2016,7,19,-25.00
2016,7,20,-43.60
2016,7,21,-39.30
2016,8,22,-20.00
2016,8,23,-36.00
2016,8,24,-56.90
2016,9,25,-63.00
2016,9,26,-73.30
2016,9,27,-80.40
2016,10,28,-75.90
2016,10,29,-51.60
2016,10,30,-53.20
2016,11,31,-32.10
2016,11,32,0.00
2016,11,33,-1.30
2016,12,34,-3.70
2016,12,35,-1.90
2016,12,36,0.00
2017,1,1,0.00
2017,1,2,-1.00
2017,1,3,-0.10
2017,2,4,-0.70
2017,2,5,-0.60
2017,2,6,0.00
2017,3,7,-0.80
2017,3,8,-1.60
2017,3,9,-18.70
2017,4,10,-28.20
2017,4,11,-35.70
2017,4,12,-47.70
2017,5,13,-54.70
2017,5,14,-56.30
2017,5,15,-41.00
2017,6,16,-35.50
2017,6,17,-64.00
2017,6,18,-65.00
2017,7,19,-60.40
2017,7,20,-63.80
2017,7,21,-66.90
2017,8,22,-52.00
2017,8,23,-45.90
2017,8,24,-54.60
2017,9,25,-31.00
2017,9,26,-24.50
2017,9,27,-26.50
2017,10,28,-21.10
2017,10,29,-26.80
2017,10,30,-15.20
2017,11,31,-7.80
2017,11,32,0.00
2017,11,33,0.00
2017,12,34,0.00
2017,12,35,0.00
2017,12,36,0.00
2018,1,1,-0.30
2018,1,2,0.00
2018,1,3,0.00
2018,2,4,0.00
2018,2,5,-1.50
2018,2,6,-5.40
2018,3,7,0.00
2018,3,8,-2.60
2018,3,9,0.00
2018,4,10,-8.80
2018,4,11,-24.40
2018,4,12,0.00
2018,5,13,-27.40
2018,5,14,-45.30
2018,5,15,-55.10
2018,6,16,-62.10
2018,6,17,-73.70
2018,6,18,-95.80
2018,7,19,
2018,7,20,
2018,7,21,
